"","year","prcp"
"1",2020,1.125
"2",2021,3.27500009536743
"3",2022,1.22500002384186
"4",2023,3.29999995231628
"5",2024,0
"6",2025,0.100000001490116
"7",2026,0.174999997019768
"8",2027,1.20000004768372
"9",2028,0.174999997019768
"10",2029,3.04999995231628
"11",2030,0
"12",2031,1.07500004768372
"13",2032,2.90000009536743
"14",2033,2.57500004768372
"15",2034,3.22499990463257
"16",2035,26.7999992370605
"17",2036,3.82500004768372
"18",2037,1.17499995231628
"19",2038,12.4750003814697
"20",2039,1.45000004768372
"21",2040,0
"22",2041,3
"23",2042,1.35000002384186
"24",2043,1.125
"25",2044,26.5750007629395
"26",2045,3.375
"27",2046,26.3500003814697
"28",2047,0.0750000029802322
"29",2048,1.04999995231628
"30",2049,0.100000001490116
